time,count
12:39:32,89
12:39:33,121
12:39:34,92
12:39:35,101
12:39:36,81
12:39:37,87
12:39:38,106
12:39:39,100
12:39:40,104
12:39:41,95
12:39:42,88
12:39:43,105
12:39:44,101
12:39:45,103
12:39:46,92
12:39:47,84
12:39:48,101
12:39:49,99
12:39:50,97
12:39:51,82
12:39:52,98
12:39:53,91
12:39:54,98
12:39:55,102
12:39:56,84
12:39:57,101
12:39:58,91
12:39:59,81
12:40:00,85
12:40:01,94
12:40:02,98
12:40:03,86
12:40:04,93
12:40:05,95
12:40:06,97
12:40:07,120
12:40:08,108
12:40:09,94
12:40:10,94
12:40:11,98
12:40:12,103
12:40:13,80
12:40:14,104
12:40:15,99
12:40:16,89
12:40:17,101
12:40:18,79
12:40:19,111
12:40:20,95
12:40:21,94
12:40:22,92
12:40:23,72
12:40:24,92
12:40:25,103
12:40:26,101
12:40:27,83
12:40:28,98
12:40:29,96
12:40:30,95
12:40:31,101
12:40:32,102
12:40:33,98
12:40:34,119
12:40:35,99
12:40:36,78
12:40:37,90
12:40:38,112
12:40:39,88
12:40:40,90
12:40:41,79
12:40:42,86
12:40:43,102
12:40:44,88
12:40:45,83
12:40:46,95
12:40:47,96
12:40:48,90
12:40:49,86
12:40:50,104
12:40:51,74
12:40:52,79
12:40:53,96
12:40:54,100
12:40:55,97
12:40:56,88
12:40:57,100
12:40:58,77
12:40:59,93
12:41:00,83
12:41:01,108
12:41:02,99
12:41:03,74
12:41:04,89
12:41:05,90
12:41:06,83
12:41:07,99
12:41:08,91
12:41:09,100
12:41:10,105
12:41:11,82
12:41:12,83
12:41:13,95
12:41:14,90
12:41:15,94
12:41:16,94
12:41:17,96
12:41:18,103
12:41:19,95
12:41:20,109
12:41:21,97
12:41:22,87
12:41:23,97
12:41:24,100
12:41:25,84
12:41:26,96
12:41:27,111
12:41:28,86
12:41:29,113
12:41:30,85
12:41:31,69
12:41:32,69
12:41:33,81
12:41:34,101
12:41:35,107
12:41:36,99
12:41:37,102
12:41:38,86
12:41:39,92
12:41:40,88
12:41:41,103
12:41:42,103
12:41:43,83
12:41:44,105
12:41:45,93
12:41:46,109
12:41:47,89
12:41:48,99
12:41:49,102
12:41:50,89
12:41:51,92
12:41:52,90
12:41:53,108
12:41:54,89
12:41:55,86
12:41:56,106
12:41:57,95
12:41:58,82
12:41:59,92
12:42:00,91
12:42:01,97
12:42:02,100
12:42:03,98
12:42:04,102
12:42:05,112
12:42:06,105
12:42:07,114
12:42:08,91
12:42:09,95
12:42:10,96
12:42:11,85
12:42:12,100
12:42:13,79
12:42:14,104
12:42:15,88
12:42:16,99
12:42:17,87
12:42:18,91
12:42:19,114
12:42:20,100
12:42:21,88
12:42:22,79
12:42:23,102
12:42:24,120
12:42:25,123
12:42:26,79
12:42:27,95
12:42:28,109
12:42:29,98
12:42:30,92
12:42:31,101
12:42:32,96
12:42:33,103
12:42:34,102
12:42:35,105
12:42:36,104
12:42:37,90
12:42:38,96
12:42:39,83
12:42:40,93
12:42:41,117
12:42:42,96
12:42:43,97
12:42:44,91
12:42:45,93
12:42:46,80
12:42:47,96
12:42:48,97
12:42:49,114
12:42:50,96
12:42:51,87
12:42:52,105
12:42:53,94
12:42:54,88
12:42:55,103
12:42:56,99
12:42:57,101
12:42:58,93
12:42:59,90
12:43:00,96
12:43:01,94
12:43:02,91
12:43:03,116
12:43:04,89
12:43:05,107
12:43:06,94
12:43:07,119
12:43:08,101
12:43:09,86
12:43:10,100
12:43:11,99
12:43:12,102
12:43:13,106
12:43:14,87
12:43:15,112
12:43:16,94
12:43:17,118
12:43:18,105
12:43:19,90
12:43:20,82
12:43:21,98
12:43:22,105
12:43:23,99
12:43:24,95
12:43:25,93
12:43:26,100
12:43:27,138
12:43:28,100
12:43:29,72
12:43:30,109
12:43:31,90
12:43:32,106
12:43:33,105
12:43:34,85
12:43:35,84
12:43:36,108
12:43:37,106
12:43:38,109
12:43:39,98
12:43:40,118
12:43:41,84
12:43:42,116
12:43:43,104
12:43:44,97
12:43:45,84
12:43:46,77
12:43:47,104
12:43:48,89
12:43:49,100
12:43:50,101
12:43:51,99
12:43:52,91
12:43:53,94
12:43:54,113
12:43:55,94
12:43:56,103
12:43:57,110
12:43:58,123
12:43:59,97
12:44:00,96
12:44:01,92
12:44:02,105
12:44:03,105
